Case Selection Reason,Player,Team,Date,Body Group,Age Group,Height Group,Injury Description (Raw),Same-Body Major Reinjury,Same Body-Part Major Reinjury Date,Confirmed Return Date,Recovery Return Anchor Method,Recovery Games Available,Recovery Games Played,Three-Year Games Played Pct,Pre 3-Season Total VORP,Post 3-Season Total VORP,Age-Adjusted VORP Change,Reinjury Window Check,Recovery Logic Check,VORP Logic Check,Overall Automated Audit
High post-return availability,Luis Scola,Houston Rockets,2011-04-09,Knee,28–30,"80–82 in (6'8""–6'10"")",sore left knee (DNP) | arthroscopic surgery on left knee (out indefinitely),0,,2011-12-26,existing game-log return date,246.0,246.0,1.0,3.7,0.6000000000000001,-2.6789098199935033,True,True,True,PASS
High post-return availability,PJ Tucker,Phoenix Suns,2016-09-15,Back,31–33,"77–79 in (6'5""–6'7"")",surgery on lower back (out indefinitely),0,,2016-10-26,existing game-log return date,246.0,245.0,0.9959349593495935,3.5,2.5,-0.5789098199935031,True,True,True,PASS
High post-return availability,Robin Lopez,New Orleans Hornets,2012-08-05,Knee,22–24,"≥83 in (≥6'11"")",surgery on left knee to repair medial meniscus,0,,2012-10-31,existing game-log return date,82.0,82.0,1.0,-0.3,4.4,3.6456727842695633,True,True,True,PASS
Largest age-adjusted VORP decline,Brandon Roy,Portland Trail Blazers,2010-12-17,Knee,25–27,"77–79 in (6'5""–6'7"")",sore left knee (DNP) | placed on IL with sore left knee | arthroscopic surgery on both knees (out indefinitely),1,2012-11-10,2011-02-23,first confirmed appearance,230.0,29.0,0.12608695652173912,13.5,-0.1,-14.418184756769577,True,True,True,PASS
Largest age-adjusted VORP decline,Dwyane Wade,Miami Heat,2012-07-10,Knee,28–30,"75–76 in (6'3""–6'4"")",surgery on left knee (out indefinitely),0,,2012-10-30,existing game-log return date,246.0,185.0,0.7520325203252033,24.4,8.1,-15.878909819993503,True,True,True,PASS
Largest age-adjusted VORP decline,Isaiah Thomas,Los Angeles Lakers,2018-03-24,Hip,28–30,"≤74 in (≤6'2"")",right hip injury (out for season) | surgery on right hip (out for season),0,,2019-02-13,first confirmed appearance,227.0,60.0,0.2643171806167401,12.1,-0.7999999999999999,-12.925321044615723,True,True,True,PASS
Largest age-adjusted VORP decline,Kobe Bryant,Los Angeles Lakers,2013-04-12,Ankle,34–36,"77–79 in (6'5""–6'7"")",torn left Achilles tendon (out indefinitely) | surgery to repair torn left Achilles tendon (out indefinitely) | placed on IL recovering from surgery to repair torn left Achilles tendon (out for season) | placed on IL recovering from surgery to repair torn left Achilles tendon,0,,2013-12-08,existing game-log return date,246.0,107.0,0.4349593495934959,15.3,0.8,-14.449880774739714,True,True,True,PASS
Low post-return availability,Chinanu Onuaku,Houston Rockets,2018-01-03,Other,19–21,"80–82 in (6'8""–6'10"")",placed on IL with sinus surgery,0,,2018-04-11,first confirmed appearance,208.0,1.0,0.004807692307692308,0.0,0.0,-1.3144235749392483,True,True,True,PASS
Low post-return availability,Chris Smith,New York Knicks,2012-10-10,Knee,37+,"75–76 in (6'3""–6'4"")",surgery on knee (out indefinitely),0,,2013-12-25,existing game-log return date,246.0,2.0,0.008130081300813009,0.0,0.0,1.2500280112044817,True,True,True,PASS
Low post-return availability,Jeremy Evans,Dallas Mavericks,2016-03-14,Shoulder,28–30,"80–82 in (6'8""–6'10"")",right shoulder injury (DTD) (CBC Y) | arthroscopic surgery on right shoulder to repair torn labrum (out for season) | placed on IL recovering from surgery on right shoulder to repair torn labrum (out for season),0,,2018-04-04,existing game-log return date,203.0,1.0,0.0049261083743842365,0.9,0.0,-0.9253210446157247,True,True,True,PASS
Low post-return availability,Maalik Wayns,Los Angeles Clippers,2013-10-16,Knee,22–24,"≤74 in (≤6'2"")",surgery on left knee to repair torn meniscus (out indefinitely) (date approximate) | placed on IL recovering from surgery on left knee to repair torn meniscus,0,,2014-01-08,reported missed-game gap,246.0,2.0,0.008130081300813009,-0.4,0.0,-0.8243105802940939,True,True,True,PASS
Low post-return availability,Ryan Reid,Oklahoma City Thunder,2012-01-04,Other,25–27,"80–82 in (6'8""–6'10"")",surgery to repair broken nose (out indefinitely),0,,2012-03-10,reported missed-game gap,246.0,1.0,0.0040650406504065045,0.0,0.0,-1.0505588970529876,True,True,True,PASS
Low post-return availability,Theo Ratliff,Los Angeles Lakers,2010-11-11,Knee,37+,"80–82 in (6'8""–6'10"")",placed on IL with left knee tendinitis | placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,0,,2011-03-31,existing game-log return date,230.0,2.0,0.008695652173913044,0.30000000000000004,0.0,0.21002118771477507,True,True,True,PASS
